RestaurantID,RestaurantName,City,Cuisines,Rating_text,Votes
50693,Millers 46,Bangalore,"American, Continental, Steak",Very Good,2345
50408,Eden Park,Bangalore,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",Very Good,714
18594284,1Q1,Bangalore,"Asian, Japanese, Thai",Very Good,697
52097,Dolci Desserts,Bangalore,"Cafe, Desserts",Very Good,697
18208356,Mudpipe Cafe,Bangalore,"Cafe, Continental, Italian, Burger",Very Good,769
55137,Hungree Belly,Bangalore,"Continental, North Indian, Chinese, Bengali",Very Good,644
50367,Domino's Pizza,Bangalore,"Pizza, Fast Food",Average,457
18412143,Mojo Pizza - 2X Toppings,Bangalore,Pizza,Very Good,362
57421,Hongkong Garden,Bangalore,"Chinese, Thai, Seafood, Momos",Good,338
54635,Punjab Junction,Bangalore,"North Indian, Chinese",Good,352
51349,Beijing Bites,Bangalore,"Chinese, Thai",Very Good,343
57086,Kabab Souq,Bangalore,"North Indian, Chinese",Good,329
18323609,BOX8- Desi Meals,Bangalore,"Sandwich, Ice Cream, North Indian, Fast Food, Wraps, Biryani",Very Good,251
52921,New Tandoor,Bangalore,"North Indian, Chinese, Mughlai, Rolls",Good,315
18891480,Chaska P2B,Bangalore,"Chinese, Italian, North Indian",Not rated,3
18820306,Cakes Confetti,Bangalore,Bakery,Not rated,0
19124358,Mangalore Lunch Home,Bangalore,South Indian,Not rated,3
18861816,Swadishta Kuteera Veg Restaurant,Bangalore,"South Indian, North Indian",Not rated,3
18987669,Cold Stone,Bangalore,"Desserts, Ice Cream",Not rated,3
18891277,Digvijay Fruit Juice Center and Ice Cream Parlor,Bangalore,"Juices, Ice Cream",Not rated,3
18911948,Hotel Nandu Andhra Style Dosa Word,Bangalore,"South Indian, Chinese",Not rated,0
19155543,Kabira Hotel,Bangalore,"North Indian, Rajasthani",Not rated,1
18868343,Cafe Noir,Bangalore,"European, French, Salad",Not rated,3
18782265,The Bangalore Cafe,Bangalore,"Modern Indian, North Indian, Pizza, Continental, Beverages",Excellent,1117
18871246,ShakesBierre,Bangalore,"Asian, Continental, European, North Indian",Excellent,1479
18430785,Communiti,Bangalore,"Continental, BBQ",Excellent,5264
18379660,Cafe Azzure,Bangalore,"Cafe, Continental, Italian, Burger",Very Good,3113
54056,Mahesh Lunch Home,Bangalore,"Seafood, Mangalorean, North Indian, Chinese",Very Good,935
